   0.100000E+01   0.100000E+01   0.100000E-09   0.100000E-09
   0.317338E+00   0.100000E+01   0.100000E-09   0.100000E-09
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755275E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755274E+01
   0.317338E+00   0.400000E+01   0.238003E+01   0.755274E+01
   0.317338E+00   0.399999E+01   0.238003E+01   0.755273E+01
   0.317338E+00   0.399998E+01   0.238003E+01   0.755272E+01
   0.317338E+00   0.399996E+01   0.238003E+01   0.755270E+01
   0.317337E+00   0.399992E+01   0.238003E+01   0.755265E+01
   0.317337E+00   0.399984E+01   0.238002E+01   0.755255E+01
   0.317336E+00   0.399969E+01   0.238000E+01   0.755235E+01
   0.317334E+00   0.399937E+01   0.237997E+01   0.755196E+01
   0.317330E+00   0.399874E+01   0.237991E+01   0.755116E+01
   0.317321E+00   0.399748E+01   0.237978E+01   0.754958E+01
   0.317305E+00   0.399497E+01   0.237953E+01   0.754642E+01
   0.317271E+00   0.398995E+01   0.237904E+01   0.754009E+01
   0.317205E+00   0.397994E+01   0.237804E+01   0.752748E+01
   0.317072E+00   0.396001E+01   0.237605E+01   0.750237E+01
   0.316806E+00   0.392056E+01   0.237207E+01   0.745259E+01
   0.316540E+00   0.388165E+01   0.236810E+01   0.740341E+01
   0.316275E+00   0.384327E+01   0.236414E+01   0.735482E+01
   0.316010E+00   0.380540E+01   0.236018E+01   0.730681E+01
   0.315745E+00   0.376804E+01   0.235624E+01   0.725936E+01
   0.315480E+00   0.373117E+01   0.235231E+01   0.721248E+01
   0.315215E+00   0.369481E+01   0.234839E+01   0.716615E+01
   0.314951E+00   0.365892E+01   0.234447E+01   0.712037E+01
   0.314687E+00   0.362351E+01   0.234057E+01   0.707513E+01
   0.314423E+00   0.358857E+01   0.233667E+01   0.703041E+01
   0.314159E+00   0.355409E+01   0.233278E+01   0.698622E+01
